src_country,dst_country,n,min_ms,p50_ms,p90_ms,p95_ms,max_ms,mean_ms,average_ms
CH,FM,60,-1.000,284.797,301.105,308.759,325.889,276.798,281.506
CH,FR,2930,-1.000,16.643,28.126,32.696,114.082,15.821,15.989
CH,GB,2488,-1.000,22.256,35.366,53.072,254.421,21.561,21.790
CH,GE,172,-1.000,-1.000,75.339,82.748,131.282,24.139,82.152
CH,GH,53,-1.000,113.098,121.480,121.683,192.712,65.058,66.328
CH,GR,404,-1.000,37.773,59.092,63.000,129.824,32.124,32.455
CH,GT,120,-1.000,145.320,155.097,161.894,185.509,141.879,143.080
CH,HK,164,-1.000,175.186,198.932,263.199,280.021,122.580,124.106
CH,HN,60,-1.000,142.776,154.553,158.219,186.438,139.313,141.691
CH,HR,60,-1.000,20.303,42.094,46.331,138.317,24.439,24.870
CH,HU,228,-1.000,16.020,30.829,36.503,67.642,12.349,12.467
CH,ID,900,-1.000,163.023,195.393,224.232,297.811,108.817,109.926
CH,IE,120,-1.000,30.954,35.739,38.013,102.555,31.741,32.016
CH,IL,114,-1.000,49.487,70.389,75.890,97.996,32.024,32.316
CH,IM,60,-1.000,40.154,49.855,53.101,76.922,39.837,40.529
CH,IN,584,-1.000,206.218,268.663,317.964,387.597,168.872,170.635
CH,IQ,60,-1.000,74.423,86.175,86.582,123.860,74.967,76.255
CH,IR,555,-1.000,-1.000,93.371,99.964,824.030,29.565,100.578
CH,IS,60,-1.000,52.573,63.598,65.264,92.283,53.104,54.021
CH,IT,1571,-1.000,17.816,39.535,47.278,196.155,21.490,21.721
CH,JP,1166,-1.000,238.597,291.428,324.651,396.571,192.256,194.266
CH,KE,180,-1.000,145.130,197.422,203.788,280.658,132.472,133.972
CH,KG,60,-1.000,106.366,111.427,122.972,145.709,102.534,104.289
CH,KH,46,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
CH,KR,240,-1.000,271.559,306.869,318.208,365.344,226.325,228.235
CH,KZ,1300,-1.000,95.195,112.543,119.018,178.511,88.589,89.494
CH,LB,60,-1.000,144.974,177.473,218.407,224.838,129.182,131.388
CH,LK,150,-1.000,154.175,225.374,242.465,257.133,165.806,168.060
CH,LT,210,-1.000,35.867,46.458,52.372,77.573,36.501,36.862
CH,LU,600,-1.000,14.928,23.604,27.936,285.542,16.605,16.783
CH,LV,60,-1.000,40.375,45.122,49.844,86.847,39.314,39.997
CH,MD,112,-1.000,36.392,50.325,54.999,75.893,23.443,23.663
CH,MK,120,-1.000,30.072,45.890,51.488,76.224,24.274,24.486
CH,MN,60,-1.000,180.111,281.238,301.509,358.996,177.965,180.998
CH,MU,120,-1.000,222.172,248.602,251.211,268.817,193.785,195.422
CH,MV,60,-1.000,185.499,198.495,199.745,209.207,167.127,169.977
CH,MX,376,-1.000,143.891,189.115,194.388,237.511,117.447,118.721
CH,MY,240,-1.000,163.800,210.970,248.590,279.549,149.066,150.327
CH,MZ,60,-1.000,179.320,204.066,240.594,283.080,181.090,184.176
CH,NC,60,-1.000,285.040,332.602,338.616,396.439,285.675,290.534
CH,NG,150,-1.000,130.087,179.493,213.755,247.382,112.096,113.624
CH,NL,3704,-1.000,17.472,24.367,41.746,293.262,19.018,19.220
CH,NO,458,-1.000,33.560,50.345,58.354,108.754,30.814,31.165
CH,NP,178,-1.000,203.669,248.310,262.578,331.851,146.845,148.525
CH,NZ,390,-1.000,276.455,305.425,319.518,354.204,231.120,233.525
CH,PA,60,-1.000,163.529,176.129,188.472,244.920,162.285,165.053
CH,PE,180,-1.000,184.833,206.561,227.714,330.687,155.687,157.448
CH,PG,29,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
CH,PH,472,-1.000,214.504,267.550,278.951,528.317,193.097,195.175
CH,PK,112,-1.000,130.235,190.568,192.787,207.331,81.741,82.486
CH,PL,838,-1.000,27.477,38.758,43.298,102.786,23.475,23.711
CH,PT,332,-1.000,35.941,48.798,51.735,165.893,25.347,25.587
CH,PW,60,-1.000,277.172,300.051,302.768,317.357,270.651,275.255
CH,PY,56,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
CH,RO,565,-1.000,35.635,52.872,58.056,123.049,28.467,28.783
CH,RS,232,-1.000,25.091,40.975,54.424,87.788,20.289,20.474
CH,RU,1221,-1.000,47.023,111.002,139.477,395.217,48.586,49.078
CH,SA,150,-1.000,87.945,110.640,167.097,309.235,93.565,94.843
CH,SE,1020,-1.000,31.316,44.652,49.313,144.881,31.551,31.873
CH,SG,1508,-1.000,160.420,244.960,259.977,362.926,153.443,154.995
CH,SI,232,-1.000,18.549,32.244,37.021,108.415,16.743,16.897
CH,SK,120,-1.000,22.272,29.129,34.985,53.593,22.618,22.816
CH,SL,30,-1.000,124.400,135.821,148.813,161.989,120.903,125.107
CH,SV,150,-1.000,151.559,171.796,189.264,334.162,152.106,154.175
CH,SX,44,-1.000,142.684,158.406,160.405,162.088,135.895,139.079
CH,TH,120,-1.000,178.285,235.734,279.944,315.804,147.954,149.206
CH,TJ,111,-1.000,107.813,136.227,138.710,168.739,65.231,65.833
CH,TR,670,-1.000,42.967,66.150,75.223,136.991,35.553,35.939
CH,TT,60,-1.000,163.044,172.972,174.465,212.495,109.490,111.363
CH,TV,60,-1.000,325.727,351.655,361.936,379.273,317.043,322.434
CH,TW,774,-1.000,243.248,273.291,290.284,373.279,200.411,202.515
CH,TZ,60,-1.000,168.817,189.047,191.911,262.696,160.492,163.229
CH,UA,622,-1.000,40.792,63.090,71.155,91.502,39.851,40.249
CH,UG,30,-1.000,197.140,203.254,204.289,242.465,188.987,195.538
CH,US,9651,-1.000,110.289,158.094,173.236,433.600,97.374,98.373
CH,UY,120,-1.000,198.360,238.116,242.962,246.638,193.524,195.159
CH,UZ,60,-1.000,-1.000,105.137,109.230,137.362,48.380,163.600
CH,VE,562,-1.000,157.520,174.156,183.946,234.003,126.424,127.799
CH,VN,178,-1.000,-1.000,261.507,276.126,450.989,102.498,346.597
CH,ZA,930,-1.000,177.219,201.368,224.589,392.872,164.581,166.199
CL,AE,142,-1.000,311.460,373.012,396.477,471.844,233.868,235.534
CL,AF,16,-1.000,383.801,434.313,434.313,442.484,364.280,388.632
CL,AL,8,227.286,253.882,260.676,265.230,265.230,249.210,249.210
CL,AM,16,-1.000,278.774,308.666,308.666,316.497,267.234,285.116
CL,AO,16,-1.000,191.764,328.502,328.502,329.584,195.545,208.648
CL,AR,112,-1.000,32.709,211.853,228.565,251.278,69.973,70.612
CL,AT,426,-1.000,222.890,252.662,257.113,394.532,197.964,199.850
CL,AU,426,-1.000,317.570,390.556,403.769,479.691,256.948,259.393
CL,AZ,16,-1.000,281.868,308.257,308.257,312.493,267.192,285.071
CL,BA,20,-1.000,235.049,252.779,267.389,390.221,176.568,185.914
CL,BD,16,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
CL,BE,112,-1.000,208.309,233.296,238.874,261.872,185.383,187.062
CL,BF,16,-1.000,-1.000,320.059,320.059,323.409,136.221,438.107
CL,BG,159,-1.000,237.371,269.063,274.568,282.582,195.328,197.829
CL,BH,14,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
CL,BO,16,-1.000,67.884,203.225,203.225,204.066,98.786,105.438
CL,BR,266,-1.000,62.272,189.429,208.598,327.041,78.181,79.084
CL,BY,16,-1.000,253.997,292.613,292.613,375.272,246.081,262.553
CL,CA,368,-1.000,148.419,187.830,198.984,754.198,123.063,124.426
CL,CH,571,-1.000,217.413,242.583,252.519,446.685,172.170,174.009
